JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
AC|Achats|AC00001|20230828|622600|Honoraires|||AC086159|20230828|FACT 250110 FOURNITURES BUREAU|434,79|0,00|||20230903||
AC|Achats|AC00001|20230828|467000|Autres comptes debiteurs ou crediteurs|||AC086159|20230828|FACT 250110 FOURNITURES BUREAU|0,00|434,79|||20230903||
AC|Achats|AC00002|20230912|611000|Sous-traitance generale|||AC097344|20230912|FACT 250214 PAPETERIE EXPRESS|227,80|0,00|||20230918||
AC|Achats|AC00002|20230912|438200|Charges sociales sur conges a payer|||AC097344|20230912|FACT 250214 PAPETERIE EXPRESS|0,00|227,80|||20230918||
AC|Achats|AC00003|20230302|602100|Achats de matieres consommables|||AC039777|20230302|FACT 250216 DALKIA FRANCE|1857,55|0,00|||20230307||
AC|Achats|AC00003|20230302|427000|Personnel - Oppositions|||AC039777|20230302|FACT 250216 DALKIA FRANCE|0,00|1857,55|||20230307||
AC|Achats|AC00004|20230606|623100|Annonces et insertions|||AC066182|20230606|FACT 250128 PAPETERIE EXPRESS|550,82|0,00|||20230606||
AC|Achats|AC00004|20230606|425000|Personnel - Avances et acomptes|||AC066182|20230606|FACT 250128 PAPETERIE EXPRESS|0,00|550,82|||20230606||
AC|Achats|AC00005|20230425|615500|Entretien et reparations sur biens mobiliers|||AC047599|20230425|FACT 250120 FOURNITURES BUREAU|628,72|0,00|||20230428||
AC|Achats|AC00005|20230429|409100|Fournisseurs - Avances et acomptes verses|||AC047599|20230425|FACT 250120 FOURNITURES BUREAU|0,00|628,72|||20230428||
AC|Achats|AC00006|20230705|611000|Sous-traitance generale|||AC074600|20230705|FACT 250204 ELECTRICITE DE FRANCE|1675,24|0,00|||20230708||
AC|Achats|AC00006|20230705|447100|Autres impots, taxes et versements assimiles|||AC074600|20230705|FACT 250204 ELECTRICITE DE FRANCE|0,00|1675,24|||20230708||
AC|Achats|AC00007|20231207|625700|Receptions|||AC122123|20231207|FACT 250203 TELECOM SAS|1522,96|0,00|||20231212||
AC|Achats|AC00007|20231207|419100|Clients - Avances et acomptes recus|||AC122123|20231207|FACT 250203 TELECOM SAS|0,00|1522,96|||20231212||
AC|Achats|AC00008|20231006|602100|Achats de matieres consommables|||AC109621|20231006|FACT 250223 ELECTRICITE DE FRANCE|1268,75|0,00|||20231007||
AC|Achats|AC00008|20231006|445520|TVA due intracommunautaire|||AC109621|20231006|FACT 250223 ELECTRICITE DE FRANCE|0,00|1268,75|||20231007||
AC|Achats|AC00009|20230804|628100|Concours divers (cotisations...)|||AC087413|20230804|FACT 250207 DALKIA FRANCE|1506,91|0,00|||20230810||
AC|Achats|AC00009|20230804|444000|Etat - Impots sur les benefices|||AC087413|20230804|FACT 250207 DALKIA FRANCE|0,00|1506,91|||20230810||
AC|Achats|AC00010|20230920|602100|Achats de matieres consommables|||AC093181|20230920|FACT 250127 TELECOM SAS|1913,37|0,00|||20230921||
AC|Achats|AC00010|20230920|455000|Associes - Comptes courants|||AC093181|20230920|FACT 250127 TELECOM SAS|0,00|1913,37|||20230921||
AC|Achats|AC00011|20230714|614000|Charges locatives|||AC072995|20230714|FACT 250120 ELECTRICITE DE FRANCE|1433,58|0,00|||20230720||
AC|Achats|AC00011|20230714|438200|Charges sociales sur conges a payer|||AC072995|20230714|FACT 250120 ELECTRICITE DE FRANCE|0,00|1433,58|||20230720||
AC|Achats|AC00012|20230914|622600|Honoraires|||AC096654|20230914|FACT 250115 FOURNITURES BUREAU|1510,51|0,00|||20230921||
AC|Achats|AC00012|20230914|445520|TVA due intracommunautaire|||AC096654|20230914|FACT 250115 FOURNITURES BUREAU|0,00|1510,51|||20230921||
AC|Achats|AC00013|20230120|614000|Charges locatives|||AC011879|20230120|FACT 250116 ELECTRICITE DE FRANCE|227,06|0,00|||20230126||
AC|Achats|AC00013|20230120|451000|Groupe|||AC011879|20230120|FACT 250116 ELECTRICITE DE FRANCE|0,00|227,06|||20230126||
AC|Achats|AC00014|20231228|623100|Annonces et insertions|||AC125429|20231228|FACT 250111 ELECTRICITE DE FRANCE|37,57|0,00|||20231228||
AC|Achats|AC00014|20231228|431000|Securite sociale|||AC125429|20231228|FACT 250111 ELECTRICITE DE FRANCE|0,00|37,57|||20231228||
